ISO_A0,week_period,Year,annual_total,week_num,avg_prop,dengue_total,Country.Name,Indicator.Name,Indicator.Code,Population,incidence_rate,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snowdepth,snow,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,name,GDP,HEP,UPR,population_density,ATP,WT,RPV,HT,NMR,TP0_14,TP15_64,TP65_,forest_area,forest_percent,LSCR,undernourishment_percent,BDWS_percent,BSS_percent,SDWS_percent,life_expectancy,CO2,Net_Migrants_number,Net_Migration_Rate,Tourist_Arrivals_m,Departures_Country,Domestic_tourists,Tourist_Arrivals,Tourism_flow,year,week_in_year,mean_dengue,sd_dengue,dengue_z_score,week,date,longitude,latitude,equator_dist,SSI,annual_amp,semiannual_amp,full_seasonal_amp,annual_rel_amp,semiannual_rel_amp,annual_peak_week,semiannual_peak_week,Dengue.virus.type.1,Dengue.virus.type.2,Dengue.virus.type.3,Dengue.virus.type.4
KHM,201221,2012,42352,21,0.018274093,832,Cambodia,"Population, total",SP.POP.TOTL,14786640,56.2670086,34.44285714,25.37142857,29.42857143,39.12857143,25.37142857,32.55714286,23.55714286,72.77142857,0.571428571,71.42857143,50,0,0,0,30.68571429,222.6857143,1005.185714,62.27142857,9.8,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,52662.58065,44.48387097,2012,21,350.1765734,583.9513918,0.82510879,21,2012/5/21,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201222,2012,42352,22,0.023161599,1159,Cambodia,"Population, total",SP.POP.TOTL,14786640,78.38156606,33.71428571,24.94285714,28.64285714,38.64285714,24.94285714,31.44285714,23.45714286,75.32857143,0.857142857,85.71428571,63.09571429,0,0,0,28.54285714,253.3571429,1005.6,62.78571429,9.757142857,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,55184.70323,43.71935484,2012,22,350.1765734,583.9513918,1.385086906,22,2012/5/28,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201223,2012,42352,23,0.02524479,1367,Cambodia,"Population, total",SP.POP.TOTL,14786640,92.44831821,33.71428571,25.15714286,28.64285714,39.37142857,25.15714286,31.78571429,23.97142857,77.5,0.714285714,100,58.33285714,0,0,0,31.17142857,222.5571429,1003.614286,60.88571429,9.742857143,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,58547.53333,42.7,2012,23,350.1765734,583.9513918,1.741280937,23,2012/6/4,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201224,2012,42352,24,0.03038196,1707,Cambodia,"Population, total",SP.POP.TOTL,14786640,115.4420477,34.57142857,24.5,29.58571429,38.41428571,24.5,32.1,22.42857143,68.11428571,0.428571429,57.14285714,26.78714286,0,0,0,29.04285714,239.6428571,1006,58.74285714,10.04285714,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,58547.53333,42.7,2012,24,350.1765734,583.9513918,2.323521179,24,2012/6/11,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201225,2012,42352,25,0.03430688,2069,Cambodia,"Population, total",SP.POP.TOTL,14786640,139.9236067,34.28571429,24.57142857,29.28571429,37.18571429,24.57142857,31.52857143,22.14285714,68.22857143,0.285714286,57.14285714,25.59571429,0,0,0,32.5,247.8857143,1006.557143,64.64285714,9.942857143,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,58547.53333,42.7,2012,25,350.1765734,583.9513918,2.943435791,25,2012/6/18,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201226,2012,42352,26,0.037876282,2371,Cambodia,"Population, total",SP.POP.TOTL,14786640,160.3474488,35.58571429,24.28571429,29.52857143,38.22857143,24.28571429,31.52857143,21.88571429,66.82857143,0.714285714,71.42857143,44.64428571,0,0,0,32.55714286,246.4714286,1006.085714,62.81428571,9.914285714,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,59353.9871,44.08387097,2012,26,350.1765734,583.9513918,3.460602124,26,2012/6/25,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201227,2012,42352,27,0.039530332,2451,Cambodia,"Population, total",SP.POP.TOTL,14786640,165.7577381,33.31428571,24.5,28.44285714,37.44285714,24.5,30.92857143,23.14285714,74.9,0.714285714,100,73.21428571,0,0,0,30.14285714,225.3857143,1003.985714,70.04285714,9.885714286,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,64192.70968,52.38709677,2012,27,350.1765734,583.9513918,3.597599828,27,2012/7/2,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201228,2012,42352,28,0.039024031,2405,Cambodia,"Population, total",SP.POP.TOTL,14786640,162.6468217,33.14285714,24.11428571,27.87142857,38.12857143,24.11428571,30.05714286,23.38571429,78.55714286,0.857142857,100,74.40571429,0,0,0,29.77142857,207.4714286,1006.114286,61.68571429,9.485714286,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,64192.70968,52.38709677,2012,28,350.1765734,583.9513918,3.518826148,28,2012/7/9,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201229,2012,42352,29,0.037989943,2006,Cambodia,"Population, total",SP.POP.TOTL,14786640,135.6630039,34.28571429,24.28571429,28.42857143,38.78571429,24.28571429,30.71428571,23.01428571,74.98571429,0.857142857,100,63.69,0,0,1,28.98571429,244.2,1006.971429,67.51428571,9.7,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,64192.70968,52.38709677,2012,29,350.1765734,583.9513918,2.835550099,29,2012/7/16,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
KHM,201230,2012,42352,30,0.035415947,1969,Cambodia,"Population, total",SP.POP.TOTL,14786640,133.1607451,33.88571429,24.07142857,29.05714286,37.31428571,24.07142857,31.18571429,22.28571429,69.8,0.285714286,57.14285714,23.81142857,0,0,0,33.01428571,238.6714286,1006.657143,57.95714286,9.914285714,1,1,CAMBODIA,950.4825446,7.26115417,21.037,83.7675051,50.86885094,NA,NA,NA,19.3,31.53778237,64.63965902,3.822558613,98922.66,56.04048266,52.63399887,8.2,68.17060775,44.34105938,23.15214873,68.9149,0.377098,-52.874,-3.538,3.58,0.79,8254,64192.70968,52.38709677,2012,30,350.1765734,583.9513918,2.77218866,30,2012/7/23,104.9053376,12.7194949,12.7194949,0.016561623,946.2121795,351.195112,2014.826531,2.331413623,0.865448076,16.74,22.61,1,0,0,0
