tempmax,tempmin,temp,dew,humidity,precip,windspeed,cloudcover,sealevelpressure,visibility,GDP,HEP,forest_percent,TP0_14,TP65_,TP15_64,population_density,UPR,Tourist_Arrivals,CO2,ISO_A0
-3.2082112,0.8261075,-0.60846883,1.1428231,0.39320737,-2.8539577,-2.4307911,-0.41452423,6.6372585,-0.53160614,1.0018197,-2.5241601,0.20990491,0.6901192,0.2611349,-6.70976,-0.02050225,-1.0403104,-4.617646,-2.2714458,KHM
2.7646763,0.7809729,0.70357776,-0.9119203,1.6293321,2.1557863,-2.133951,0.021772157,-1.3373672,0.012411046,-0.06813687,0.8021713,1.6480057,-0.52292556,0.23753543,-0.108380586,5.2628284,0.24317598,-2.5232759,0.88086784,SGP
-3.420843,-2.0133245,-1.104067,0.72124314,4.4985433,0.046860617,-11.1623745,0.81168896,-3.4135993,1.4160461,7.4407663,-1.7385433,0.9720709,0.730299,0.45947042,-9.298624,-1.3256912,1.1805874,-4.331171,4.982032,LAO
0.8776247,-0.0372703,1.2042476,-0.63180256,0.018774172,4.4232087,-3.0828462,1.1426811,-2.9946518,3.765092,-3.429998,1.8266506,-0.2772624,-0.35835135,-0.44256133,8.097892,1.1253356,-0.6058976,9.083014,0.99503815,THA
-0.26145175,-1.0986167,1.398192,0.44580105,2.731783,0.9966407,-6.6105304,-0.6635342,-1.9314977,-0.83984196,1.2937025,-4.950836,-3.135398,-0.95275253,0.029882595,-12.074428,-2.915156,-0.41851348,3.8428233,0.6951151,MYS
3.2101536,-1.8894435,0.6768414,-1.538561,0.9209826,-1.5845447,0.28908747,-0.21903552,-1.3782517,0.081708945,-3.4324257,-1.5362158,-1.2371572,-3.2138054,0.36552155,-3.1588414,-0.3433577,-0.5036551,-6.7756815,1.2529802,VNM
0.4239676,-2.9839735,2.6387744,0.41081527,1.9173846,1.6264342,-1.5955772,3.2603369,1.7751077,0.046391897,2.228113,1.1510352,2.0705807,0.71946245,-2.8911717,1.2335167,1.1442266,0.433626,4.7995367,0.59949106,MYS
-1.1581618,-0.20136544,-0.13555047,0.050686624,0.27486166,-3.6349864,-3.7067394,0.16195744,-1.4090883,-0.58666265,0.7466437,-2.4111912,-1.1721852,1.648054,0.40507665,-12.0745735,-1.512568,0.060928255,3.9331617,1.1224772,MYS
0.8367402,-1.5190419,1.1909385,0.6617197,6.2475033,-1.0200202,-8.575211,1.9840856,-1.0387484,3.0239465,5.501961,-1.5117538,0.69756794,0.6862769,-0.43292016,-13.886778,-1.7543672,0.74853784,-3.803074,4.1532354,LAO
2.4740205,-2.0812624,1.9461359,-1.9787925,-7.778576,-4.737364,4.031741,-1.5301349,-2.3045487,-0.103605434,-0.8274072,1.7093996,-0.61458707,0.07842155,-0.06797732,-12.294362,0.50486207,-0.4496891,-11.457381,-3.319058,KHM
