adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/4/7,2013/4/13,2013,153,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/4/14,2013/4/20,2013,159,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/4/21,2013/4/27,2013,164,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/4/28,2013/5/4,2013,221,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/5/5,2013/5/11,2013,221,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/5/12,2013/5/18,2013,313,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/5/19,2013/5/25,2013,447,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/5/26,2013/6/1,2013,575,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/6/2,2013/6/8,2013,652,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/6/9,2013/6/15,2013,686,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/6/16,2013/6/22,2013,826,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/6/23,2013/6/29,2013,917,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/6/30,2013/7/6,2013,988,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/7/7,2013/7/13,2013,1159,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/7/14,2013/7/20,2013,1054,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/7/21,2013/7/27,2013,966,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/7/28,2013/8/3,2013,706,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/8/4,2013/8/10,2013,689,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/8/11,2013/8/17,2013,575,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/8/18,2013/8/24,2013,489,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/8/25,2013/8/31,2013,435,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/9/1,2013/9/7,2013,375,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/9/8,2013/9/14,2013,387,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/9/15,2013/9/21,2013,279,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/9/22,2013/9/28,2013,281,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/9/29,2013/10/5,2013,204,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/10/6,2013/10/12,2013,253,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/10/13,2013/10/19,2013,239,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/10/20,2013/10/26,2013,270,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/10/27,2013/11/2,2013,276,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/11/3,2013/11/9,2013,227,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
CAMBODIA,NA,NA,CAMBODIA,KHM,44,KHM,NA,2013/11/10,2013/11/16,2013,202,Total,Admin0,Week,WHOWPRO-ALL-2015-W01-21
